,Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
206,วิธีการเข้าถึงข้อมูลสมาชิกของคลาสในภาษา Python คืออะไร?,"('การใช้จุด (.)', 1)","('การใช้เครื่องหมายคำถาม (?)', 0)","('การใช้เครื่องหมายอัศเจรีย (!)', 0)","('การใช้เครื่องหมายทวีคูณ (*)', 0.25)",Object-Oriented Programming (OOP),Easy
207,การสร้าง object จาก class ใน Python ใช้คำสั่งอะไร?,"('new', 0)","('create', 0)","('instance', 1)","('objectify', 0)",Object-Oriented Programming (OOP),Easy
208,เซตในภาษา Python คืออะไร?,"('คอลเล็กชันของไอเท็มที่ไม่ซ้ำกัน', 1)","('คอลเล็กชันของไอเท็มที่ซ้ำกัน', 0)","('คอลเล็กชันของไอเท็มที่มีลำดับ', 0)","('คอลเล็กชันของไอเท็มที่ไม่มีลำดับ', 0.5)",Set,Easy
209,การสร้างเซตใน Python ทำอย่างไร?,"('ใช้ฟังก์ชัน set()', 1)","('ใช้ฟังก์ชัน list()', 0)","('ใช้ฟังก์ชัน dict()', 0)","('ใช้ฟังก์ชัน tuple()', 0)",Set,Easy
210,วิธีการเพิ่มข้อมูลในเซตใน Python คือ?,"('ใช้เมธอด add()', 1)","('ใช้เมธอด append()', 0)","('ใช้เมธอด insert()', 0)","('ใช้เมธอด update()', 0.5)",Set,Medium
211,วิธีการลบข้อมูลจากเซตใน Python คือ?,"('ใช้เมธอด remove()', 1)","('ใช้เมธอด delete()', 0)","('ใช้เมธอด discard()', 0.5)","('ใช้เมธอด pop()', 0)",Set,Medium
212,เซตใน Python สามารถทำการรวมข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Set,Easy
213,เซตใน Python สามารถทำการคัดลอกข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Set,Easy
214,เซตใน Python สามารถทำการเปรียบเทียบข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Set,Medium
215,เซตใน Python สามารถทำการค้นหาข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Set,Medium
216,เซตใน Python สามารถทำการตรวจสอบความซ้ำของข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Set,Hard
217,การสร้าง set ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('()', 0.25)","('[]', 0.5)","('{} without key', 1)","('.', 0)",Set,Easy
218,การรวม set ในภาษา Python สามารถทำได้โดยใช้ operator อะไร?,"('union', 1)","('intersection', 0.75)","('difference', 0.5)","('symmetric_difference', 0)",Set,Medium
219,เซตในภาษาไพธอนสามารถสร้างได้โดยการใช้สัญลักษณ์อะไร?,"('{}', 1)","('()', 0)","('[]', 0)","('.set', 0)",Set,Easy
220,การสร้างเซตในภาษาไพธอนสามารถทำได้โดยใช้วิธีการใด?,"('set() function', 1)","('list comprehension', 0.5)","('dictionary', 0)","('tuple', 0)",Set,Medium
221,เซตในภาษาไพธอนมีลักษณะเด่นอย่างไร?,"('ไม่สามารถมีสมาชิกซ้ำกันได้', 1)","('สามารถมีสมาชิกซ้ำกันได้', 0)","('เป็นลำดับ', 0)","('สามารถแก้ไขได้', 0)",Set,Easy
222,เราสามารถเพิ่มสมาชิกใหม่เข้าไปในเซตในภาษาไพธอนได้โดยใช้เมธอดอะไร?,"('add()', 1)","('append()', 0)","('insert()', 0)","('update()', 0.5)",Set,Medium
223,เซตในภาษาไพธอนสามารถทำการรวมเซต (Union) ได้โดยใช้เครื่องหมายอะไร?,"('|', 1)","('&', 0.5)","('+', 0)","('*', 0)",Set,Medium
224,เซตในภาษาไพธอนสามารถทำการหาข้อมูลที่เหมือนกันระหว่างสองเซต (Intersection) ได้โดยใช้เครื่องหมายอะไร?,"('&', 1)","('|', 0.5)","('+', 0)","('*', 0)",Set,Medium
225,เซตในภาษาไพธอนสามารถทำการหักล้างเซต (Difference) ได้โดยใช้เครื่องหมายอะไร?,"('-', 1)","('+', 0)","('*', 0)","('/', 0)",Set,Medium
226,เซตในภาษาไพธอนสามารถทำการลบสมาชิกออกจากเซตได้โดยใช้เมธอดอะไร?,"('remove()', 1)","('discard()', 0.5)","('delete()', 0)","('pop()', 0)",Set,Medium
227,เซตในภาษาไพธอนสามารถทำการคัดลอกเซตได้โดยใช้เมธอดอะไร?,"('copy()', 1)","('clone()', 0.5)","('duplicate()', 0)","('replicate()', 0)",Set,Medium
228,เซตใน Python สามารถทำการแปลงข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Set,Hard
229,Set methods ใน Python ใช้สำหรับการดำเนินการอะไร?,"('การเรียงลำดับข้อมูล', 0.25)","('การตรวจสอบความซ้ำของข้อมูล', 0.5)","('การแปลงข้อมูลเป็นรูปแบบอื่น', 0)","('การทำงานร่วมกับ list และ dictionary', 1)",Set,Medium
230,การทำงานร่วมกันระหว่าง set และ list สามารถทำได้โดยการใช้วิธีการอะไร?,"('การแปลง set เป็น list', 0.5)","('การแปลง list เป็น set', 1)","('การใช้ฟังก์ชัน intersection()', 0)","('การใช้ฟังก์ชัน union()', 0)",Set,Hard
231,Set methods ใน Python มีประโยชน์ในการดำเนินการอะไร?,"('การตรวจสอบความซ้ำของข้อมูล', 0.5)","('การทำงานร่วมกับ list และ dictionary', 1)","('การแปลงข้อมูลเป็นรูปแบบอื่น', 0)","('การเรียงลำดับข้อมูล', 0.25)",Set,Medium
232,เซตในภาษาไพธอนสามารถทำการตรวจสอบว่าสมาชิกหนึ่งอยู่ในเซตหรือไม่ได้โดยใช้เมธอดอะไร?,"('in', 1)","('not in', 0.5)","('contains()', 0)","('include()', 0)",Set,Easy
233,Tuple สามารถใช้งานร่วมกับฟังก์ชันใดได้บ้าง?,"('len()', 1)","('sorted()', 0.5)","('reverse()', 0.25)","('all of the above', 0)",Tuples,Medium
234,คุณสามารถแก้ไขค่าใน Tuple ได้หรือไม่?,"('ไม่สามารถ', 1)","('สามารถ', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,Easy
235,วิธีการเข้าถึงสมาชิกของ Tuple คืออะไร?,"('ใช้วิธีการ Slice', 0.25)","('ใช้วิธีการ Indexing', 1)","('ใช้วิธีการ Loop', 0.5)","('ใช้วิธีการ Random', 0)",Tuples,Easy
236,การลบสมาชิกใน Tuple ทำได้หรือไม่?,"('ทำได้', 0)","('ไม่สามารถ', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,Medium
237,คำสั่งไหนที่ใช้ในการสร้าง Tuple?,"('tuple()', 0.25)","('list()', 0)","('()', 0.5)","('None of the above', 1)",Tuples,Easy
238,การสร้าง Tuple จาก List ทำได้หรือไม่?,"('ไม่สามารถ', 0)","('ทำได้', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,Hard
239,การแปลง Tuple เป็น String ทำได้หรือไม่?,"('ไม่สามารถ', 0)","('ทำได้', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,Hard
240,การตรวจสอบสมาชิกใน Tuple ทำได้หรือไม่?,"('ไม่สามารถ', 0)","('ทำได้', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,Hard
241,การรวม Tuple เข้าด้วยกันทำได้หรือไม่?,"('ไม่สามารถ', 0)","('ทำได้', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,Hard
242,การปรับปรุงสมาชิกใน Tuple ทำได้หรือไม่?,"('ทำได้', 0)","('ไม่สามารถ', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,Medium
243,ตัวแปรในภาษา Python สามารถเปลี่ยนชนิดข้อมูลได้หรือไม่,"('สามารถเปลี่ยนชนิดข้อมูลได้', 0.75)","('ไม่สามารถเปลี่ยนชนิดข้อมูลได้', 0.25)","('ขึ้นอยู่กับชนิดข้อมูล', 0)","('ไม่แน่ใจ', 0)",Variables and Data Types,Medium
244,ชนิดข้อมูล int ในภาษา Python ใช้เก็บค่าใด,"('ตัวเลขจำนวนเต็ม', 0.75)","('ตัวเลขทศนิยม', 0.25)","('ข้อความ', 0)","('ค่าที่เป็นจริง/เท็จ', 0)",Variables and Data Types,Easy
245,การสร้างตัวแปรในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์ใด,"('=', 0.75)","('==', 0.25)","('!=', 0)","('<>', 0)",Variables and Data Types,Easy
246,ชนิดข้อมูล float ในภาษา Python ใช้เก็บค่าใด,"('ตัวเลขทศนิยม', 0.75)","('ตัวเลขจำนวนเต็ม', 0.25)","('ข้อความ', 0)","('ค่าที่เป็นจริง/เท็จ', 0)",Variables and Data Types,Easy
247,ในภาษา Python คุณสามารถใช้ตัวแปรที่มีชื่อเดียวกันได้หรือไม่,"('สามารถใช้ตัวแปรที่มีชื่อเดียวกันได้', 0.25)","('ไม่สามารถใช้ตัวแปรที่มีชื่อเดียวกันได้', 0.75)","('ขึ้นอยู่กับชนิดข้อมูล', 0)","('ไม่แน่ใจ', 0)",Variables and Data Types,Medium
248,ชนิดข้อมูล str ในภาษา Python ใช้เก็บค่าใด,"('ข้อความ', 0.75)","('ตัวเลขจำนวนเต็ม', 0.25)","('ตัวเลขทศนิยม', 0)","('ค่าที่เป็นจริง/เท็จ', 0)",Variables and Data Types,Easy
249,ในภาษา Python การกำหนดค่าเริ่มต้นให้กับตัวแปรสามารถทำได้โดยการใช้สัญลักษณ์ใด,"('=', 0.75)","('==', 0.25)","('!=', 0)","('<>', 0)",Variables and Data Types,Easy
250,ชนิดข้อมูล bool ในภาษา Python ใช้เก็บค่าใด,"('ค่าที่เป็นจริง/เท็จ', 0.75)","('ตัวเลขจำนวนเต็ม', 0.25)","('ตัวเลขทศนิยม', 0)","('ข้อความ', 0)",Variables and Data Types,Easy
251,ในภาษา Python การเปลี่ยนชนิดข้อมูลของตัวแปรสามารถทำได้โดยการใช้ฟังก์ชันใด,"('int()', 0.5)","('float()', 0.5)","('str()', 0)","('bool()', 0)",Variables and Data Types,Medium
252,การใช้งานตัวแปรในภาษา Python ต้องเริ่มด้วยคำว่า?,"('var', 0.25)","('let', 0.5)","('int', 0.75)","('None', 1)",Variables and Data Types,Easy
253,การกำหนดค่าให้กับตัวแปรในภาษา Python ทำอย่างไร?,"('=', 1)","('==', 0.75)","('!=', 0.5)","('>=', 0.25)",Variables and Data Types,Easy
254,การแสดงผลลัพธ์ของตัวแปรในภาษา Python ใช้ฟังก์ชัน?,"('print()', 1)","('display()', 0.75)","('show()', 0.5)","('output()', 0.25)",Variables and Data Types,Easy
255,ตัวอย่างของการสร้างตัวแปรในภาษา Python คือ?,"('x = 5', 1)","(""y = 'Hello'"", 0.75)","('z = True', 0.5)","('w = 3.14', 0.25)",Variables and Data Types,Medium
256,การเปลี่ยนชนิดข้อมูลของตัวแปรในภาษา Python สามารถทำได้หรือไม่?,"('ไม่สามารถเปลี่ยนชนิดข้อมูลได้', 0)","('สามารถเปลี่ยนชนิดข้อมูลได้', 1)","('ขึ้นอยู่กับชนิดข้อมูล', 0.5)","('ต้องใช้ฟังก์ชันพิเศษ', 0.25)",Variables and Data Types,Medium
257,ตัวอย่างของการแปลงชนิดข้อมูลในภาษา Python คือ?,"('str(x)', 1)","('int(y)', 0.75)","('float(z)', 0.5)","('bool(w)', 0.25)",Variables and Data Types,Medium
258,การกำหนดค่าเริ่มต้นให้กับตัวแปรในภาษา Python สามารถทำได้หรือไม่?,"('ไม่สามารถกำหนดค่าเริ่มต้นได้', 0)","('สามารถกำหนดค่าเริ่มต้นได้', 1)","('ขึ้นอยู่กับชนิดข้อมูล', 0.5)","('ต้องใช้ฟังก์ชันพิเศษ', 0.25)",Variables and Data Types,Medium
259,การตรวจสอบชนิดข้อมูลของตัวแปรในภาษา Python สามารถทำได้โดยใช้ฟังก์ชัน?,"('type()', 1)","('isinstance()', 0.75)","('classof()', 0.5)","('datatype()', 0.25)",Variables and Data Types,Hard
260,การเปลี่ยนแปลงค่าของตัวแปรในภาษา Python สามารถทำได้โดยใช้?,"('Assignment', 1)","('Function', 0.75)","('Method', 0.5)","('Operator', 0.25)",Variables and Data Types,Hard
261,ตัวแปรในภาษา Python สามารถเก็บค่าได้หลายประเภท เช่น ,"('String', 1)","('Integer', 0.75)","('Boolean', 0.5)","('List', 0.25)",Variables and Data Types,Easy
262,ในภาษา Python คุณสามารถเก็บค่าใดๆ ในตัวแปรได้,"('ตัวเลข', 0.75)","('ข้อความ', 0.25)","('ทั้งข้อความและตัวเลข', 0)","('ไม่สามารถเก็บค่าใดๆ ได้', 0)",Variables and Data Types,Easy
